yearMonth,numCrimes
2012-01,26194
2012-02,23847
2012-03,28533
2012-04,27164
2012-05,30067
2012-06,31052
2012-07,31945
2012-08,30010
2012-09,27730
2012-10,27938
2012-11,26010
2012-12,25180
2013-01,25357
2013-02,21372
2013-03,24922
2013-04,25492
2013-05,27959
2013-06,27325
2013-07,28593
2013-08,28622
2013-09,26295
2013-10,25429
2013-11,23518
2013-12,21819
2014-01,19870
2014-02,17977
2014-03,22117
2014-04,22836
2014-05,24807
2014-06,25348
2014-07,26477
2014-08,25802
2014-09,23811
2014-10,23911
2014-11,20680
2014-12,20891
2015-01,20656
2015-02,16287
2015-03,21560
2015-04,21610
2015-05,23570
2015-06,23059
2015-07,24101
2015-08,24685
2015-09,22996
2015-10,22979
2015-11,20486
2015-12,21006
2016-01,20375
2016-02,18590
2016-03,21878
2016-04,20962
2016-05,23332
2016-06,23791
2016-07,24646
2016-08,24619
2016-09,23235
2016-10,23314
2016-11,21140
2016-12,19580
2017-01,11357
